ticker,price,pct_below_52w_high,rs_raw_score,tight_base,base_range_pct,up_down_vol_ratio,eps_growth_pct,sales_growth_pct,fundamentals_pass,rs_rating,final_candidate
LAURUSLABS.NS,1781.3,0.0,1.791,True,22.8,2.43,125.5,29.1,True,98,True
WELCORP.NS,1655.0,2.5,1.769,True,17.9,3.17,198.6,14.9,True,97,True
AEGISLOG.NS,1249.3,10.9,1.756,True,23.5,6.55,45.7,52.2,True,94,True
RRKABEL.NS,2562.2,0.6,1.742,True,17.7,2.45,128.6,53.9,True,93,True
SYRMA.NS,1377.8,5.1,1.646,True,12.7,3.21,101.2,68.3,True,92,True
ADANIENSOL.NS,1659.0,4.7,1.623,True,17.2,1.69,124.2,42.4,True,90,True
HONASA.NS,445.95,6.0,1.557,True,13.6,2.82,177.0,23.2,True,89,True
SONACOMS.NS,763.75,0.0,1.523,True,23.3,1.7,44.7,52.4,True,88,True
HSCL.NS,760.5,5.0,1.49,True,25.0,1.42,26.3,28.0,True,85,True
RADICO.NS,4366.6,0.2,1.477,True,14.5,2.46,62.3,19.5,True,83,True
GRANULES.NS,833.95,7.5,1.444,True,18.2,1.47,59.8,22.0,True,80,True
BELRISE.NS,232.79,5.9,1.441,True,10.5,1.41,18.4,12.1,True,78,True
CRAFTSMAN.NS,10047.0,0.0,1.437,True,10.6,1.42,74.4,27.3,True,77,True
LLOYDSME.NS,2015.1,1.8,1.422,True,19.2,1.98,585.3,405.5,True,74,True
FEDERALBNK.NS,354.15,1.4,1.409,True,10.8,4.84,36.8,21.4,True,73,True
CAPLIPOINT.NS,2536.3,5.1,1.4,True,8.3,2.64,19.3,19.0,True,72,True
GLAND.NS,2517.0,1.3,1.39,True,10.2,1.53,96.6,22.3,True,70,True
NYKAA.NS,333.75,0.0,1.382,True,10.8,1.63,286.3,28.4,True,69,True
ACMESOLAR.NS,360.7,8.5,1.351,True,10.8,1.69,12.9,12.5,True,68,True
MOTHERSON.NS,146.72,3.1,1.339,True,7.9,1.02,42.5,16.5,True,67,True
ANANDRATHI.NS,2039.3,5.0,1.335,True,11.1,1.62,73.8,52.1,True,66,True
OFSS.NS,11136.0,5.4,1.329,True,10.5,1.09,120.5,68.7,True,63,True
STARHEALTH.NS,610.4,0.0,1.312,True,5.8,3.0,21731.4,13.8,True,61,True
KARURVYSYA.NS,340.3,0.0,1.31,True,18.1,2.39,44.9,26.0,True,58,True
NAM-INDIA.NS,1146.9,5.9,1.307,True,10.2,0.97,27.2,24.5,True,56,True
VIJAYA.NS,1360.2,3.7,1.307,True,7.7,1.79,38.4,26.6,True,56,True
EMCURE.NS,1910.9,0.7,1.306,True,7.9,1.48,28.8,16.7,True,54,True
AJANTPHARM.NS,3436.4,3.9,1.298,True,12.4,1.69,18.4,21.5,True,52,True
ASTERDM.NS,814.0,1.3,1.287,True,7.7,1.93,77.4,18.2,True,51,True
BAJAJ-AUTO.NS,11432.0,0.0,1.275,True,18.7,1.18,45.9,64.0,True,46,True
RBLBANK.NS,378.05,0.7,1.269,True,7.9,1.15,381.7,40.8,True,44,True
SHRIRAMFIN.NS,1027.2,6.5,1.269,True,6.1,1.71,59.9,39.1,True,44,True
TITAN.NS,4850.0,0.0,1.266,True,13.8,1.64,35.2,80.5,True,42,True
ABCAPITAL.NS,394.05,3.8,1.257,True,6.3,1.19,30.6,7.7,True,40,True
