symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
ENGINERSIN,0.4393,C,267.53,254.04,284.67,310,340,350
AYMSYNTEX,0.3602,C,295.29,273.22,325.13,370,410,440
IDFCFIRSTB,0.3242,C,88.94,86.75,95.95,110,120,130
BAJAJHCARE,0.3209,C,394.79,382.01,427.88,470,525,550
FEDERALBNK,0.3148,C,372.44,362.11,398.17,440,470,500
ABCAPITAL,0.3117,C,431.56,419.22,461.4,500,550,575
ARTEMISMED,0.3114,C,334.37,319.9,364.03,410,450,480
CGCL,0.3013,C,265.06,249.04,289.86,330,360,390
NMDC,0.2759,C,97.68,94.34,102.15,110,120,130
ASHOKLEY,0.2667,C,183.07,176.8,195.22,220,230,240
SWIGGY,0.2225,C,305.61,295.09,324.45,350,380,400
YESBANK,0.2142,C,25.83,25.25,27.82,35,40,45
GAIL,0.2083,C,182.74,178.11,191.96,210,220,230
BPCL,0.2037,C,330.61,320.15,345.12,370,390,400
